"IDDIST","DISTRITO","Código de Local Educativo","Nombre de Local Educativo","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Priorizado (preliminar)"
"130102","EL PORVENIR","253059","VIRGEN DE LA ASUNCION","Privada",286,8,"NA",-79.00051,-8.08429,"No"
"130102","EL PORVENIR","253115","112","Pública de gestión directa",103,4,"NA",-79.01972,-8.07241,"No"
"130102","EL PORVENIR","253163","1635","Pública de gestión directa",56,2,"1",-79.0112,-8.086,"Sí"
"130102","EL PORVENIR","253224","80831 FRANCISCO BOLOGNESI","Pública de gestión directa",838,34,"NA",-79.02037,-8.07274,"Sí"
"130102","EL PORVENIR","253238","111","Pública de gestión directa",91,4,"NA",-79.023,-8.0732,"No"
"130102","EL PORVENIR","253262","81776 LOS LAURELES","Pública de gestión directa",512,22,"NA",-79.02648,-8.0738,"Sí"
"130102","EL PORVENIR","320394","ENGELS CLASS","Privada",185,7,"1",-79.00284,-8.086824,"Sí"
"130102","EL PORVENIR","504133","UN MUNDO MEJOR","Privada",49,5,"NA",-78.99735,-8.08771,"No"
"130102","EL PORVENIR","504920","119 LUIS FELIPE DE LAS CASAS","Pública de gestión directa",123,5,"NA",-79.0134,-8.0732,"No"
"130102","EL PORVENIR","506212","VIRGEN DEL CARMEN","Pública de gestión directa",1839,84,"NA",-79.01224,-8.06533,"Sí"
"130102","EL PORVENIR","507037","MAJ SCHOOL","Privada",70,5,"NA",-79.00292,-8.08276,"No"
"130102","EL PORVENIR","522405","EL AMAUTA","Privada",148,14,"NA",-79.00591,-8.07761,"No"
"130102","EL PORVENIR","522820","SEMILLITAS DE JESUS","Privada",198,18,"NA",-78.99642,-8.07205,"No"
"130102","EL PORVENIR","537666","DIVINO NIÑO JESUS","Privada",30,2,"NA",-79.00064,-8.08122,"No"
"130102","EL PORVENIR","548434","LOS MILAGRITOS DE JESUS","Privada",12,2,"NA",-78.98869,-8.07116,"No"
"130102","EL PORVENIR","557824","SAGRADO CORAZON DE JESUS","Privada",232,8,"NA",-79.02089,-8.0739,"No"
"130102","EL PORVENIR","564985","EL BUEN SEMBRADOR","Privada",182,15,"NA",-78.99744,-8.07448,"No"
"130102","EL PORVENIR","572947","SANTA ISABEL","Pública de gestión privada",138,5,"NA",-78.9944,-8.06799,"No"
"130102","EL PORVENIR","582036","NUESTRA SEÑORA DE LAS MERCEDES","Privada",156,11,"NA",-79.00623,-8.07792,"No"
"130102","EL PORVENIR","585006","BENJAMIN FRANKLIN","Privada",108,11,"NA",-79.00328,-8.08453,"No"
"130102","EL PORVENIR","585030","REYNA DE LOS ANGELES","Privada",59,7,"NA",-78.9973,-8.07114,"No"
"130102","EL PORVENIR","597815","REYNA DE LA PAZ","Privada",77,6,"NA",-79.02009,-8.06387,"No"
"130102","EL PORVENIR","619855","LATINOS SCHOOL'S","Privada",154,16,"NA",-78.99906,-8.07627,"No"
"130102","EL PORVENIR","624507","ESCUELA UNA SONRISA DE AMOR USDA","Pública de gestión directa",202,8,"NA",-79.01028,-8.05376,"No"
"130102","EL PORVENIR","632324","LIDERES EN ACCION","Privada",16,3,"NA",-79.02021,-8.07086,"No"
"130102","EL PORVENIR","639170","MATER BONI","Privada",138,7,"NA",-79.01046,-8.0642,"No"
"130102","EL PORVENIR","647943","SEMILLITAS DEL SABER","Privada",60,4,"NA",-79.00978,-8.08164,"No"
"130102","EL PORVENIR","650983","CRECER","Privada",163,9,"NA",-78.99717,-8.08727,"No"
